,Person
384,"વી.વી. એસ. લક્ષ્મણ
"
385,"ચન્દ્રુ પૉલ
"
386,"સત્યમ પટેલ
"
387,"કૃષ્ણકાન્ત અવસ્થી
"
388,"કોંકણા સેન-શર્મા
"
389,"નિયતી જોશી
"
390,"રવિ શાસ્ત્રી
"
391,"મનુભાઈ પંચોલી
"
392,"મંસૂર અખ્તર
"
393,"મોહસિન ખાન
"
394,"કલ્યાણજી વીરજી શાહ
"
395,"વિવિયન રિચર્ડ્સ
"
396,"કેતકી દવે
"
397,"બિંદુ દેસાઈ
"
398,"નલિનિકાંત નવીન
"
399,"પ્રતિભા પાટિલ
"
400,"કોટા શ્રીનિવાસ રાવ કોઉન્ડમણી
"
401,"લીઓનાર્ડો ડી કેપ્રિયો
"
402,"સુચિતા ત્રિવેદી
"
403,"સર્વપલ્લી રાધાકૃષ્ણન
"
404,"ચક્રવર્તી રાજગોપાલાચારી
"
405,"બેન કિંગ્સલી
"
406,"આન્દ્રે અગાસી
"
407,"આન્દ્રે અગાસી
"
408,"અશ્મિત પટેલ
"
409,"કૈલાશ પંડ્યા
"
410,"અશ્મિત પટેલ
"
411,"માર્કન્ડ ભટ્ટ
"
412,"કવિ કલાપિ
"
413,"અલ્લૂ રામલિંગૈયા
"
414,"મુકેશ અંબાણી
"
415,"બલરામ જાખડ
"
416,"સુચિતા ત્રિવેદી
"
417,"લાલ બહાદુર શાસ્ત્રી
"
418,"ફિરોઝ નડિયાદવાલા
"
419,"હેમુ અધિકારી
"
420,"ફિરોઝ ઇરાની
"
421,"ચિરંજીવી
"
422,"હસમુખ બારાડી
"
423,"દાનિશ કનેરિયા
"
424,"વિધુ વિનોદ ચોપરા
"
425,"મનીષા કનોજિયા
"
426,"આર. ડબલ્યૂ. એંડરસન
"
427,"મુશ્તાક અહેમદ
"
428,"દિલિપ કુમાર
"
429,"બ્રિન્દા પારેખ
"
430,"વિષ્ણુ વર્ધન
"
431,"મરવન અટ્ટાપટ્ટૂ
"
432,"સચ્ચિદાનંદ હીરાનંદ વાત્સ્યાયન
"
433,"રણવીર કપૂર
"
434,"દીપિકા ચિખલિયા
"
435,"પ્રિયા બદલાની
"
436,"ધનસુખલાલ મહેતા
"
437,"મોહસિન ખાન
"
438,"વિવિયન રિચર્ડ્સ
"
439,"ઉપેન પટેલ
"
440,"અઝિમ પ્રેમજી
"
441,"સત્યમ પટેલ
"
442,"મોહમ્મદ અલી જિન્નાહ
"
443,"નલિનિકાંત નવીન
"
444,"રઘુવીર ચૌધરી
"
445,"બટુભાઈ ઉમરવાડિયા
"
446,"વી.વી. એસ. લક્ષ્મણ
"
447,"ઇમરાન હાશ્મી
"
448,"રજનીકાન્ત
"
449,"નરેન્દ્ર મોદી
"
450,"હેન્સી ક્રોનિયે
"
451,"ગ્રાહમ ગૂચ
"
452,"રાજેન્દ્ર પ્રસદ
"
453,"શાહરુખ ખાન
"
454,"પાર્થિવ પટેલ
"
455,"ટીના મુનિમ
"
456,"ટોની બ્લેર
"
457,"ખાલિદ મસૂદ
"
458,"શીતલ શેઠ
"
459,"પ્રાચી શાહ
"
460,"જમશેદજી ટાટા
"
461,"સુમિત્રા નન્દન પન્ત
"
462,"શેખ મુજીબુર રહેમાન
"
463,"કિરણ મોરે
"
