,Place
640,"ഹിസാര്‍
"
641,"കോട്ടയം
"
642,"നാസിക്
"
643,"പശ്ചിമബംഗാള്‍
"
644,"ഔറംഗബാദ്
"
645,"പുരി
"
646,"കല്‍പ്പറ്റ
"
647,"ഗുജറാത്ത്
"
648,"വെല്ലൂര്‍
"
649,"ഹിസാര്‍
"
650,"റൂര്‍ക്കേല
"
651,"ഡെറാഡൂണ്‍
"
652,"മാണ്ഡു
"
653,"മേഖാലയ
"
654,"കൊട്ടാരക്കര
"
655,"സേലം
"
656,"തിരിച്ചിറപ്പള്ളി
"
657,"തിരിച്ചിറപ്പള്ളി
"
658,"സിലാപൂര്‍
"
659,"നാസിക്
"
660,"ഗുല്‍ബര്‍ഗ്
"
661,"രാജ്കോട്ട്
"
662,"വാരണാസി
"
663,"പമ്പ
"
664,"പൊന്‍കണ്ടം
"
665,"ഊട്ടി
"
666,"മൂന്നാര്‍
"
667,"സികര്‍
"
668,"ജംഷഡ്പൂര്‍
"
669,"പിറവം
"
670,"ദിസ്പൂര്‍
"
671,"തേനി
"
672,"പീരിമേട്
"
673,"കാഞ്ചി
"
674,"സാഞ്ചി
"
675,"മഹാരാഷ്ട്ര
"
676,"നളന്ദ
"
677,"ഹിസാര്‍
"
678,"രാംപൂര്‍
"
679,"മധ്യപ്രദേശ്
"
680,"തഞ്ചാവൂര്‍
"
681,"പിമ്പി
"
682,"അങ്കമാലി
"
683,"മൈസൂര്‍
"
684,"മവേലിക്കര
"
685,"ലഹോര്‍
"
686,"ജംഷഡ്പൂര്‍
"
687,"ആലുവ
"
688,"സിലാപൂര്‍
"
689,"ആറംമുള
"
690,"മുസ്സൂറി
"
691,"രാജ്കോട്ട്
"
692,"ഒറീസ
"
693,"നൊയ്ഡ
"
694,"വയനാട്
"
695,"വിജയവാഡ
"
696,"വാരണാസി
"
697,"ഇടുക്കി
"
698,"ഉത്തരാഞ്ചല്‍
"
699,"ഉദയ്പ്പൂര്‍
"
700,"പാപ്പനംകോട്
"
701,"ഉതുമ
"
702,"നരിമാന്‍പോയിന്‍റ്
"
703,"ഗോളിയര്‍
"
704,"കല്‍പ്പറ്റ
"
705,"മൈസൂര്‍
"
706,"അലിഗര്‍
"
707,"റാഞ്ചി
"
708,"ജംഷഡ്പൂര്‍
"
709,"കായംകുളം
"
710,"മുസ്സൂറി
"
711,"മാംഗ്ലൂര്‍
"
712,"ഉത്തര്‍പ്രദേശ്
"
713,"ഔറംഗബാദ്
"
714,"ലുധിയാന
"
715,"കൊര്‍ണാക്ക്
"
716,"ഗുജറാത്ത്
"
717,"ഇടുക്കി
"
718,"ഇടുക്കി
"
719,"ജംഷഡ്പൂര്‍
"
720,"ഗാസിയാബാദ്
"
721,"മേഖാലയ
"
722,"പുരി
"
