,Person
294,"शाहिद अफ़रीदी
"
295,"कोटा श्रीनिवास राव कोवन्डमानी
"
296,"अब्दुल कादिर
"
297,"मरवन अट्टापट्टू
"
298,"ज़िया उल-हक
"
299,"प्रतिभा पाटिल
"
300,"चार्ली चैप्लिन
"
301,"विश्वनाथ प्रताप सिंह
"
302,"विवियन रिचर्ड्स
"
303,"नवाज़ शरीफ़
"
304,"हर्शेल गिब्स
"
305,"जयकान्त झा
"
306,"जैकी चेन
"
307,"महेश्वर प्रसाद सिंह
"
308,"सचिन रमेश तेंदुलकर
"
309,"रघुवीर सिंह
"
310,"भैरों सिंह शेखावत
"
311,"शम्मी कपूर
"
312,"एम. एस. खाँ
"
313,"एल्बर्ट अल ए.गोरे
"
314,"कंगना रानाउत
"
315,"बॉबी देओल
"
316,"के.श्रीकांत
"
317,"के. करुणानिधि
"
318,"राम जानेश्वर प्रसाद
"
319,"राहुल द्रविण
"
320,"गोविंदा
"
321,"विवियन रिचर्ड्स
"
322,"चन्द्र भूषण चौधरी
"
323,"एम. एफ़ हुसैन
"
324,"एन.टी. रामाराव
"
325,"विधु विनोद चोपड़ा
"
326,"धर्मशीला गुप्ता
"
327,"सुमित्रा नन्दन पन्त
"
328,"जय कृष्ण प्रसाद
"
329,"सूर्य बहादुर थापा
"
330,"निर्मला श्रीवास्तव
"
331,"तकीउद्दीन
"
332,"हिमेश रेशमिया
"
333,"प्रेम चोपड़ा
"
334,"धर्मशीला गुप्ता
"
335,"एलन डोनाल्ड
"
336,"मंसूर अख्तर
"
337,"मो.ख्वाजा हसन
"
338,"बंज नन्दन सिंह
"
339,"जयकान्त झा
"
340,"चन्द्रकला सिन्हा
"
341,"अबे कुरुविला
"
342,"के. करुणानिधि
"
343,"लिओनार्ड डि कैपरियो
"
344,"सच्चिदानन्द हीरानन्द वात्स्यायन अज्ञेय
"
345,"हजारी प्रसाद द्विवेदी
"
346,"हरधनहल्ली डी.  देवगौड़ा
"
347,"माइकल अर्थटन
"
348,"राधा रमण मिश्र
"
349,"कंगना रानाउत
"
350,"हरिनारायण झा
"
351,"मनोरमा श्रीवास्तव
"
352,"अनिल कुम्बले
"
353,"उदित नारायन
"
354,"अजय देवगन
"
355,"सलीम मलिक
"
356,"शमशेर जंग बहादुर राणा
"
357,"जितेन्द्र
"
358,"मधुलता श्रीवास्तव
"
359,"अर्जुन सिंह
"
360,"सैफ़ अली खान
"
361,"जॉर्ज फर्नांडिज़
"
362,"मधुलता श्रीवास्तव
"
363,"कमल हासन
"
364,"अटल बिहारी वाजपेयी
"
365,"कोचरील रहमान नारायन
"
366,"रीझन नाग
"
367,"कपिल देव
"
368,"जगदीश उपाध्याय
"
369,"जैकी श्रॉफ़
"
370,"बलीराम भगत
"
371,"सिद्दावनाली निजालिंगप्पा
"
372,"धर्मेन्द्र
"
373,"लालू प्रसाद यादव
"
374,"रघुनाथ शरण
"
375,"नवल किशोर नारायण
"
376,"लाला अमरनाथ
"
377,"कामेश्वर प्रसाद श्रीवास्तव
"
378,"रामास्वामी अइयर वेंकटरमण
"
379,"कृष्णकांत अवस्थी
"
380,"मृदुला सिन्हा
"
381,"अब्दुल कादिर
"
382,"भोला पाठक
"
383,"कृष्णम राजू
"
384,"राजेश्वरी प्रसाद वर्मा
"
385,"शमशेर जंग बहादुर राणा
"
386,"विश्वनाथ प्रताप सिंह
"
387,"चन्द्रकला सिन्हा
"
388,"एम. एफ़ हुसैन
"
389,"जीतेन्द्र प्रसाद सिंह
"
390,"एलिज़ाबेथ
"
391,"मनिंदर सिंह
"
392,"लालू प्रसाद यादव
"
393,"भोला पाठक
"
394,"हरधनहल्ली डी.  देवगौड़ा
"
395,"डेविड बून
"
396,"एन.टी. रामाराव
"
397,"दिनेश कुमार नारायण
"
398,"रमण प्रसाद सिन्हा
"
399,"सीता राम येचुरी
"
400,"सैफ़ अली खान
"
