,Person
413,"ఉమాదేవి
"
414,"కొండలరావు
"
415,"ఏడుకొండలు
"
416,"జయలలిత
"
417,"ఉషోదయం
"
418,"కమలాకరరావు
"
419,"తిరుమలరావు
"
420,"దుర్గారావు
"
421,"చూష్మ
"
422,"దివాకర్
"
423,"కోకిల
"
424,"గీత
"
425,"ధనంజయరావు
"
426,"జయంతి రావు
"
427,"చైతన్య
"
428,"దేవి
"
429,"జానకి
"
430,"గీత
"
431,"దుర్గాదేవి
"
432,"కృష్ణప్రసాద్
"
433,"గాయత్రి
"
434,"శ్రీనివాసరావు
"
435,"అంకమ్మరావు
"
436,"దాక్షాయిని
"
437,"ధనంజయరావు
"
438,"తాతారావు
"
439,"దుర్గారావు
"
440,"దేవేంద్ర
"
441,"దుర్గాదేవి
"
442,"ఆమని
"
443,"గంగాభవాని
"
444,"దైవసుందరం
"
445,"గంగోత్రి
"
446,"దైవసహాయం
"
447,"కోటేశ్వరరావు
"
448,"కిష్టప్ప
"
449,"దాక్షాయిని
"
450,"గాంధారి
"
451,"ఉష
"
452,"ఉమ
"
453,"దమయంతి
"
454,"కనకదుర్గ
"
455,"కనకదుర్గ
"
456,"జయంతి
"
457,"గంగోత్రి
"
458,"అంజన
"
459,"అమరేశ్వరరావు
"
460,"తిరుమలరావు
"
461,"కొండలరావు
"
462,"తాతారావు
"
463,"దేవీప్రసాద్
"
464,"తాతారావు
"
465,"దివ్యభాను
"
466,"దమయంతి
"
467,"కమలాకరరావు
"
468,"దుర్గారావు
"
469,"దుర్గారావు
"
470,"ఇందిర
"
471,"కృష్ణారావు
"
472,"అశోక
"
473,"ఏకలవ్య
"
474,"గాంధారి
"
475,"దివ్య
"
476,"గంగాభవాని
"
477,"ఇందు
"
478,"ఉమారాణి
"
479,"గీతాంజలి
"
480,"దుర్గ
"
481,"ఇందిర
"
482,"ఉషారాణి
"
483,"ఉష
"
484,"కోటయ్య
"
485,"దాక్షాయిని
"
486,"గీత
"
487,"గంగోత్రి
"
488,"కృష్ణారావు
"
489,"గాయత్రి
"
490,"కోటేశ్వరరావు
"
491,"దేవి
"
492,"దేవయాని
"
493,"అంజన
"
494,"చిత్ర
"
495,"దివ్య
"
496,"ధాత్రి
"
497,"కీరవాణి
"
498,"అంకమ్మరావు
"
499,"ధర్మరాజు
"
500,"కమలాకరరావు
"
501,"ఉమాదేవి
"
502,"దుర్గాప్రసాద్
"
503,"దివ్య
"
504,"దేవయాని
"
505,"ఇందు
"
506,"గాంధారి
"
507,"జయలలిత
"
508,"గాంధారి
"
509,"ఉషారాణి
"
510,"గాయత్రి
"
511,"ఉమాశంకర్
"
512,"కృష్ణారావు
"
513,"ఉమాకాంత్
"
514,"దుర్గారావు
"
515,"దుర్గారావు
"
516,"శ్రీలక్ష్మి
"
517,"దాక్షాయిని
"
518,"శ్రీ శ్రీ
"
519,"గీతాంజలి
"
520,"చిత్ర
"
521,"తిరుమలరావు
"
522,"ఉమాకాంత్
"
523,"ఇందు
"
524,"గంగాభవాని
"
525,"ఉమాకాంత్
"
526,"దేవి
"
527,"జయంతి రావు
"
528,"అమరేశ్వరరావు
"
529,"ధనంజయ్
"
530,"ఉమ
"
531,"కీరవాణి
"
532,"గాయత్రి
"
533,"దేవీప్రసాద్
"
534,"కృష్ణకాంత్
"
535,"ఏకలవ్య
"
536,"ఉమాదేవి
"
537,"ఆత్రేయ
"
538,"ఉజ్వల
"
539,"జయంతి
"
540,"దేవయాని
"
541,"ఇందు
"
542,"చూష్మ
"
543,"జామకిరామయ్య
"
544,"శ్రీలక్ష్మి
"
545,"శ్రీ శ్రీ
"
546,"ఆంజనేయులు
"
547,"అమరేశ్వరరావు
"
548,"ఉషాదేవి
"
549,"కృష్ణకాంత్
"
550,"దివ్యభాను
"
551,"దుర్గాభవాని
"
552,"దేవదాసు
"
553,"అరుంధతి
"
554,"జానకి
"
555,"జామకిరామయ్య
"
556,"శ్రీనివాస్
"
557,"తిరుపతి
"
558,"ఆత్రేయ
"
559,"చిత్ర
"
560,"ఉమాశంకర్
"
561,"గంగాభవాని
"
562,"ఉమ
"
563,"ఇందుమతి
"
564,"గీత
"
565,"తాతారావు
"
566,"కమలాకరరావు
"
567,"చూష్మ
"
568,"దైవసహాయం
"
569,"ఉషోదయం
"
570,"ఉమారాణి
"
571,"శ్రీ శ్రీ
"
572,"అమరేశ్వరరావు
"
573,"గంగోత్రి
"
574,"ఏడుకొండలు
"
575,"కోటయ్య
"
576,"ఆమని
"
577,"దేవి
"
578,"అజై
"
579,"ఉషారాణి
"
580,"కృష్ణకాంత్
"
581,"దుర్గాభవాని
"
582,"గాయత్రి
"
583,"దేవదాసు
"
584,"ధాత్రి
"
585,"జయలలిత
"
586,"ధాత్రి
"
587,"కిష్టప్ప
"
588,"దుర్గాదేవి
"
589,"జయంతి రావు
"
590,"తిరుపతి
"
591,"శ్రీ శ్రీ
"
592,"కృష్ణప్రసాద్
"
593,"కృష్ణారావు
"
594,"దయానంద్
"
595,"ఇందు
"
596,"శ్రీనివాస్
"
597,"ఉమాభారతి
"
598,"దేవదాసు
"
599,"శ్రీలక్ష్మి
"
600,"గాయత్రి
"
601,"ఆత్రేయ
"
602,"దేవేందర్
"
603,"ఈశ్వర్
"
604,"దివ్య
"
605,"దేవేందర్
"
606,"జానకిరామ్
"
607,"కీరవాణి
"
608,"దుర్గ
"
609,"కాంతారావు
"
610,"కామాక్షి
"
611,"దేవి
"
612,"దేవేంద్ర
"
613,"గాయత్రి
"
614,"దేవి
"
615,"ఉషోదయం
"
