,Person
264,"ঋত্বিক ঘটক
"
265,"ইন্জামাম-উল-হক
"
266,"সুভাষ চন্দ্র বোস
"
267,"জন্টি রোডস
"
268,"জর্জ ফার্নান্ডেজ
"
269,"ঋতুপর্ণ ঘোষ
"
270,"প্রদীপ কুমার ব্যানার্জী
"
271,"শিশির কুমার ভাদুরী
"
272,"শীর্ষেন্দু মুখোপাধ্যায়
"
273,"জ্ঞানেন্দ্র বীর বিক্রম শাহ
"
274,"কার্ল হুপর
"
275,"শরত বাবু
"
276,"জগদীশ চন্দ্র বসু
"
277,"ইমরান হাশমী
"
278,"সীমা বিশ্বাস
"
279,"আব্দুল কাদির
"
280,"দেবাশিষ মোহান্তি
"
281,"উদিদ নারায়ণ
"
282,"হুমায়ুন আজাদ
"
283,"ববি দেওল
"
284,"জ্যাকি শ্রফ
"
285,"অন্তরা চৌধুরী
"
286,"উত্তম কুমার
"
287,"হেমন্ত মুখার্জী
"
288,"গুরদাস মান
"
289,"অশোক কুমার মালহোত্রা
"
290,"বেঙ্কটেশ প্রসাদ
"
291,"বুদ্ধদেব ভট্টাচার্য্য
"
292,"ফারুক ইঞ্জিনিয়ার
"
293,"বিনোদ গণপত কাম্বলী
"
294,"শঙ্খ ঘোষ
"
295,"নানা পাটেকর
"
296,"আরুষী আগরওয়াল
"
297,"সুনীল গাওস্কর
"
298,"হাসান রাজা
"
299,"সুকান্ত গঙ্গোপাধ্যায়
"
300,"অজয় জাডেজা
"
301,"মোহম্মদ ওয়াসিম হিদায়তুল্লাহ
"
302,"ডেভিড বুন
"
303,"আকরম খান
"
304,"উপেন্দ্রনাথ ব্রহ্মচারী
"
305,"কাদের খান
"
306,"বিপিন চন্দ্র পাল
"
307,"পূর্ণেন্দু পত্রী
"
308,"টিনু আনন্দ
"
309,"অবে কুরুবিলা
"
310,"আকরম খান
"
311,"বিশ্বনাথ প্রতাপ সিংহ
"
312,"নারায়ণ গঙ্গোপাধ্যায়
"
313,"রাজেশ খান্না
"
314,"এসপি বালাসুব্রহমনিয়ম
"
315,"উত্পল দত্ত
"
316,"ঋষি কাপুর
"
317,"ওয়াকার ইউনুস
"
318,"কৃষ্ণম রাজু
"
319,"গোলাম মুস্তফা আলি
"
320,"জিতেন্দ্র
"
321,"রাজেন্দ্র প্রসাদ
"
322,"বিভূতিভুষণ বন্দ্যোপাধ্যায়
"
323,"দেবেন্দ্রনাথ ঠাকুর
"
324,"মমুটী
"
325,"অমর গোপাল বসু
"
326,"পণ্ডিত শিব কুমার শর্মা
"
327,"মুস্তাক আহমেদ
"
328,"পঙ্কজ রায়
"
329,"শীর্ষেন্দু মুখোপাধ্যায়
"
330,"আমজাদ খান
"
331,"সর্দার বল্লভভাই পাটেল
"
332,"কালুবিথর্না
"
333,"কমল হাসন
"
334,"সানিয়া মির্জা
"
335,"অভিজিত্ চক্রবর্তী
"
336,"ইউসুফ যোহানা
"
337,"ভিভিয়ান রিচর্ড
"
338,"আশাপূর্ণা দেবী
"
339,"অরুন মিত্র
"
340,"পুরুষোত্তম দাস টন্ডন
"
341,"শ্যামাপ্রসাদ মুখার্জী
"
342,"এআর রহমান
"
343,"গ্রাহাম গুচ
"
344,"ঋত্বিক ঘটক
"
345,"মানিক বন্দ্যোপাধ্যায়
"
346,"নচিকেতা চক্রবর্তী
"
347,"গিরিজা প্রসাদ কোইরালা
"
348,"জ্যাকি চেন
"
349,"ইন্জামাম-উল-হক
"
350,"রবি শাস্ত্রী
"
351,"বলবিন্দর সন্ধু
"
352,"মোহসিন খান
"
353,"শিশির কুমার মিত্র
"
354,"জাকির হুসেন
"
355,"লালা অমরনাথ
"
356,"বুদ্ধদেব দাসগুপ্ত
"
357,"সৈয়ফ আলী খান
"
358,"পূর্ণেন্দু পত্রী
"
359,"উপেন্দ্রকিশোর রায়
"
360,"এআর রহমান
"
361,"চুণী গোস্বামী
"
362,"মিহির সেন
"
363,"শ্রীকান্ত
"
364,"মহেশ ভুপতি
"
365,"সুনীল গঙ্গোপাধ্যায়
"
366,"কিশোর কুমার
"
367,"এমএফহুসেন
"
368,"পান্নালাল ঘোষ
"
369,"সতীনাথ মুখোপাধ্যায়
"
370,"জ্যাকি চেন
"
371,"সাদত আলী
"
372,"অমর গোপাল বসু
"
373,"লাবণি সরকার
"
374,"জ্ঞানেন্দ্র বীর বিক্রম শাহ
"
375,"জ্যোতির্ময়ী শিকদার
"
376,"সঞ্জীব চট্টোপাধ্যায়
"
377,"রবি শাস্ত্রী
"
378,"ঝুলন চক্রবর্তী
"
379,"দাসরী নারায়ণ রাও
"
380,"শ্রেয়া ঘোষাল
"
381,"ভিভিএস লক্ষ্মণ
"
382,"লোপামুদ্রা মিত্র
"
383,"শৈলেন দাশগুপ্ত
"
384,"ত্রিভুবন বীর বিক্রম শাহ
"
385,"শক্তি চট্টোপাধ্যায়
"
386,"জ্ঞানেন্দ্র বীর বিক্রম শাহ
"
387,"ঈশ্বর চন্দ্র বিদ্যাসাগর
"
388,"সাহিবজাদা ফারুকআলী
"
389,"বিমল কর
"
390,"পঙ্কজ রায়
"
391,"অরবিন্দ ডি সিলভা
"
392,"কাদের খান
"
393,"অজিত ওয়াদেকর
"
394,"ধর্মেন্দ্র
"
395,"সয়াদত আলী মন্টা
"
396,"সুচিত্রা সেন
"
397,"দ্বিজেন্দ্রলাল রায়
"
398,"কাজী নজরুল ইসলাম
"
399,"জর্জ ডাব্লু বুশ
"
400,"সুনীল গঙ্গোপাধ্যায়
"
401,"কৃষ্ণকান্ত অবস্থী
"
402,"অন্তরা চৌধুরী
"
403,"জ্যাকি শ্রফ
"
404,"ঋষি কাপুর
"
405,"শাহিদ আফ্রিদী
"
406,"বেঙ্কটপতি রাজু
"
407,"সুব্রত রায়
"
408,"তপন সাহা
"
409,"আমির সুহেল খান
"
410,"ইন্দ্রনীল সেন
"
411,"বলরাম জাখড়
"
412,"চান্কি পান্ডে
"
413,"সাদত আলী
"
414,"সরবেশ্বর দয়াল সকসেনা
"
415,"নভজত্ সিং সিদ্ধু
"
416,"গ্রেগ চ্যাপেল
"
417,"প্রশান্ত চন্দ্র মহলানবিস
"
418,"গোলাম মুস্তফা
"
419,"রবি শাস্ত্রী
"
420,"চন্দ্রু পাল
"
421,"যামিনী রায়
"
422,"সুকান্ত ভট্টাচার্য্য
"
423,"গোবিন্দা
"
424,"করিশ্মা কাপুর
"
425,"রবিন সিং
"
426,"অভিনব বিন্দ্রা
"
427,"জ্যোতির্ময়ী শিকদার
"
428,"এএল কালীচরণ
"
429,"দ্বিজেন্দ্রলাল রায়
"
430,"মৌমা দাস
"
431,"অঞ্জন দত্ত
"
432,"খাজা মোইনুদ্দীন চিস্তি
"
433,"বিভূতিভুষণ বন্দ্যোপাধ্যায়
"
434,"আরডব্লু এন্ডারসন
"
435,"অনিল কুম্বলে
"
436,"সাদত আলী
"
437,"ধর্মেন্দ্র
"
438,"নভজত্ সিং সিদ্ধু
"
439,"অরুন মিত্র
"
440,"জুল্ফিকার আলি ভুট্টো
"
441,"অলবর্ট গিলক্রিস্ট
"
442,"নারায়ণ গঙ্গোপাধ্যায়
"
443,"সৌমিত্র চ্যাটার্জী
"
444,"সন্ধ্যা রানী মৃদুল
"
445,"ঈশ্বর চন্দ্র বিদ্যাসাগর
"
446,"ঝুলন চক্রবর্তী
"
447,"মল্লিকা শেরাবত
"
448,"সত্যজিত্ রায়
"
449,"এপিজে আব্দুল কালাম
"
450,"এলন ডোনাল্ড
"
451,"রজনীকান্ত
"
452,"রমেশ চন্দ্র দত্ত
"
453,"সুচিত্রা সেন
"
454,"আবদুল গফ্ফর চৌধুরী
"
455,"বলবিন্দর সন্ধু
"
456,"অবে কুরুবিলা
"
457,"রণবীর কাপুর
"
458,"রাহুল বোস
"
459,"শরত্চন্দ্র চট্টোপাধ্যায়
"
460,"বরাহগিরী বেঙ্কটগিরী
"
461,"রাহুল দেব বর্মণ
"
462,"প্রভাকরন
"
463,"শর্মিলা ঠাকুর
"
464,"জগদীশ চন্দ্র বসু
"
465,"পন্ডিত অজয় চক্রবর্তী
"
466,"জয়া ভাদুড়ী
"
467,"শোয়েব আখতার
"
468,"অভিজিত্ চক্রবর্তী
"
469,"শিবরাজ পাটিল
"
470,"মনমোহন সিং
"
471,"মাত্রিকা প্রসাদ কৈরালা
"
472,"গ্রেগ চ্যাপেল
"
473,"দাসরী নারায়ণ রাও
"
474,"বুদ্ধদেব বসু
"
475,"শেখর কাপুর
"
476,"অভিষেক বচ্চন
"
477,"রোনাল্ড রীগন
"
478,"প্রফুল্ল চন্দ্র সেন
"
479,"মার্ক বাওচর
"
480,"রাহুল দ্রাবিড়
"
481,"দেবেন্দ্রনাথ ঠাকুর
"
482,"এলওয়ার্ট এল এ গৌর
"
483,"রাহুল বোস
"
484,"জনি লিভার
"
485,"এপিজে আব্দুল কালাম
"
486,"সৈয়ফ আলী খান
"
487,"চন্দ্রশেখর
"
488,"শীর্ষেন্দু মুখোপাধ্যায়
"
489,"ঋষি কাপুর
"
490,"বিষ্ণু বর্ধন
"
491,"মল্লিকার্জুন মসুর
"
