,Place
327,"காகரியா
"
328,"மதுபன்
"
329,"பத்துவா
"
330,"ராஜ்கோட்
"
331,"ஜரியா
"
332,"ஹாப்லங்
"
333,"பலாமூ
"
334,"பைய்ஜாபாத்
"
335,"சிரிகங்கநகர்
"
336,"கொச்சின்
"
337,"பிரோஜாபாத்
"
338,"நோய்டா
"
339,"புலன்ஷாகர்
"
340,"பைய்சலபாத்
"
341,"தூத்துக்குடி
"
342,"கம்பில்
"
343,"ராஞ்சி
"
344,"திண்டுகல்
"
345,"ஹாசன்
"
346,"பரிதாபாத்
"
347,"தமோ
"
348,"டார்ஜிலிங்
"
349,"போபால்
"
350,"வல்லாப்கர்
"
351,"சிம்லா
"
352,"தும்கூர்
"
353,"பாலசோர்
"
354,"பட்நகர்
"
355,"ஊஸ்மனாபாத்
"
356,"ஜம்மு
"
357,"பிரயாக்
"
358,"தர்மசாலா
"
359,"கிருஷ்ணகிரி
"
360,"கொச்சின்
"
361,"கட்டாக்
"
362,"கங்காநகர்
"
363,"கிருஷ்ணகிரி
"
364,"கண்ணியக்குமரி
"
365,"சேனாபதி
"
366,"கூடுகாவ்ங்
"
367,"ஈடாநகர்
"
368,"சொபூர்
"
369,"ஊட்டி
"
370,"தேவ்கர்
"
371,"பெகுசராய்
"
372,"தில்லி, நியூ டெல்லி
"
373,"ஹர்டோய்
"
374,"பைய்ஜாபாத்
"
375,"ரோஸ்தா
"
376,"விஜெய்வாடா
"
377,"ஜெய்நகர்
"
378,"ஹர்டோய்
"
379,"பின்பரி
"
380,"டோடா
"
381,"ஜோவாய்
"
382,"ஆவுடையார் பட்டினம்
"
383,"பூரி
"
384,"கோட்டையம்
"
385,"விருதுநகர்
"
386,"கேதார்நாத்
"
387,"மாதேபூர்
"
388,"பஸ்தி
"
389,"பத்தேகட்
"
390,"கடிஹார்
"
391,"விழுப்புரம்
"
392,"டிப்ருகர்
"
393,"கொண்டா
"
394,"அஜ்மீர்
"
395,"ஹனுமான்கர்
"
396,"ச்சிந்வடா
"
397,"துரா
"
398,"ஹல்த்வானி
"
399,"ஜாம்நகர்
"
400,"W2.73.குர்ஜா
"
401,"வில்லியம்நகர்
"
402,"நசிபபாத், டாடாநகர்
"
403,"நோய்டா
"
404,"ஜலந்தர்
"
405,"மதுரை
"
406,"பட்டான்கோட்
"
407,"வாரங்கல்
"
408,"ஹரிடவார்
"
409,"அயோத்தியா
"
410,"பிரயாக்
"
411,"திருவள்ளூர்
"
412,"சம்பவத்
"
413,"லூதியானா
"
414,"கன்னியாகுமரி
"
415,"சத்ரா
"
416,"தார்வாட்
"
417,"சோபன்
"
418,"நசிபபாத், டாடாநகர்
"
419,"சதாரா
"
420,"ஜெய்பூர்
"
421,"பிரோஜ்பூர்
"
422,"சுபாவ்ல்
"
423,"பிகார் ஷரிப்
"
424,"ரங்காரெட்டி
"
425,"கோட்டையம்
"
426,"பெல்கோவ்
"
427,"ஜோவாய்
"
428,"தர்மசாலா
"
429,"ஜல்பைகுடி
"
430,"ஈடுகி
"
431,"காஞ்சிபுரம்
"
432,"பிரகாசம்
"
433,"சிம்லா
"
434,"பாகல்பூர்
"
435,"ஜெய்சல்மேர்
"
436,"தன்பாத்
"
437,"பரவ்னி
"
438,"சீவ்சாகர்
"
439,"பிலாய்
"
440,"இம்பால்
"
441,"ஹாப்லங்
"
442,"நவ்காவ்ங்
"
443,"குருசியங்
"
444,"கொச்சி
"
445,"ரத்லம்
"
446,"சீத்தாபூர்
"
447,"திண்டுகல்
"
448,"லகீம்பூர்-கிரி
"
449,"சோபன்
"
450,"சிம்லா
"
451,"தேனீ
"
452,"சில்சர்
"
453,"ஈடாரசி
"
454,"ஜபல்பூர்
"
455,"ஆக்ரா
"
456,"விருதுநகர்
"
457,"புதுக்கோட்டை
"
458,"தஞ்சாவூர்
"
459,"மதுரை
"
460,"ஜலந்தர்
"
461,"பாண்டிச்சேரி
"
462,"ஹலகாபாத்
"
463,"ஹகமதாபாத்
"
464,"கட்டாக்
"
465,"தூர்க்
"
466,"ஆக்ரா
"
467,"தும்கூர்
"
468,"W2.74.கங்டோக்
"
469,"ஹகமதாபாத்
"
470,"அம்ராவதி
"
471,"ஜாம்நகர்
"
472,"ஈடாநகர்
"
473,"கொச்சி
"
474,"தேவரியா
"
475,"வாரங்கல்
"
476,"பட்டான்கோட்
"
477,"பலாமூ
"
478,"பிஜ்னோர்
"
479,"ஈடாரசி
"
480,"திண்டுகல்
"
481,"சமஸ்திபூர்
"
482,"லடக்
"
483,"யஷ்வந்பூர்
"
484,"ஆவுடையார் பட்டினம்
"
485,"தாம்பரம்
"
486,"ஹாஜ்பூர்
"
487,"மதுரை
"
488,"மாதேபூர்
"
489,"மதுபன்
"
490,"கோல்பரா
"
491,"ஈடுகி
"
492,"பிரோஜ்பூர்
"
493,"ஜோத்பூர்
"
494,"காந்திநகர்
"
495,"திம்மாப்பூர்
"
496,"வேலூர்
"
497,"உதய்ப்பூர்
"
498,"பிரோஜ்பூர்
"
499,"அம்பிகாபுர்
"
500,"கோலாப்பூர்
"
501,"திம்மாப்பூர்
"
502,"புதுக்கோட்டை
"
503,"சிமோகா
"
504,"தஞ்சாவூர்
"
505,"பஸ்தி
"
506,"லக்னோ
"
507,"பெகுசராய்
"
508,"வேலூர்
"
509,"குர்தாஸ்பூர்
"
510,"நைநிதால்
"
511,"பெல்லாரி
"
512,"பங்குடா
"
513,"லே
"
514,"திருச்சூர்
"
515,"மீரட்
"
516,"கொச்சின்
"
517,"ஜெய்சல்மேர்
"
518,"ஜெய்நகர்
"
519,"ச்சுடசந்பூர்
"
520,"லூதியானா
"
521,"தேவ்கர்
"
